,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6804061,0.6750272,0.67538667,0,0,0
0,0.6555831,0.66983724,0.66989654,1,0,0
0,0.63512474,0.6635571,0.6634084,2,0,0
0,0.6169243,0.65626746,0.6559175,3,0,0
0,0.5991735,0.64747727,0.64716166,4,0,0
0,0.585423,0.6366155,0.6362659,5,0,0
0,0.57251334,0.62569994,0.62550837,6,0,0
0,0.5658395,0.61482733,0.6145863,7,0,0
0,0.5605618,0.60311836,0.60331464,8,0,0
0,0.5558593,0.59099513,0.5907852,9,0,0
0,0.5498035,0.5809803,0.5804387,10,0,0
0,0.5478094,0.57248104,0.5712083,11,0,0
0,0.54372305,0.5634266,0.56211936,12,0,0
0,0.5385792,0.55634147,0.55623305,13,0,0
0,0.5396413,0.55169344,0.55181086,14,0,0
0,0.54033166,0.5461061,0.54446507,15,0,0
0,0.54306346,0.5447775,0.5423436,16,0,0
0,0.5311932,0.5417064,0.5419682,17,0,0
0,0.5334361,0.54021096,0.53977627,18,0,0
0,0.5287679,0.5382719,0.5385007,19,0,0
0,0.52373004,0.5376568,0.5403776,20,0,0
0,0.5302806,0.5356754,0.5377895,21,0,0
0,0.5248152,0.5387842,0.54188997,22,0,0
0,0.51929474,0.53831786,0.54419005,23,0,0
0,0.5236561,0.5392695,0.5448622,24,0,0
0,0.51457363,0.5438209,0.5465871,25,0,0
0,0.5156479,0.5526178,0.56294173,26,0,0
0,0.67909557,0.6748393,0.67523235,0,1,0
0,0.6571804,0.66987765,0.6699141,1,1,0
0,0.6340656,0.6633879,0.66323805,2,1,0
0,0.61851853,0.65522057,0.65498203,3,1,0
0,0.5948275,0.6457936,0.645457,4,1,0
0,0.5824997,0.6336622,0.6332412,5,1,0
0,0.5686212,0.62132716,0.62117165,6,1,0
0,0.56398904,0.60810685,0.6079368,7,1,0
0,0.5517208,0.59599787,0.59616286,8,1,0
0,0.5474086,0.58592623,0.5865167,9,1,0
0,0.5472922,0.57631713,0.5771507,10,1,0
0,0.5452543,0.56780946,0.56849426,11,1,0
0,0.5396166,0.5613576,0.5617,12,1,0
0,0.53676474,0.55571383,0.5562112,13,1,0
0,0.5316194,0.55059344,0.5511681,14,1,0
0,0.53430146,0.5460137,0.5473798,15,1,0
0,0.5331166,0.54321593,0.5447132,16,1,0
0,0.53977114,0.54131806,0.5428121,17,1,0
0,0.5276888,0.5389496,0.539534,18,1,0
0,0.52617866,0.53832483,0.53757924,19,1,0
0,0.52781624,0.5372488,0.536645,20,1,0
0,0.53137845,0.5356168,0.5349329,21,1,0
0,0.51758355,0.5351487,0.53467983,22,1,0
0,0.5193354,0.53389186,0.53411716,23,1,0
0,0.52221507,0.53939396,0.53598374,24,1,0
0,0.51864266,0.5400173,0.53720725,25,1,0
0,0.5243463,0.54114515,0.53791827,26,1,0
0,0.52304393,0.53943294,0.5379649,27,1,0
0,0.51365334,0.5405809,0.5384917,28,1,0
0,0.6826598,0.675166,0.6756241,0,2,0
0,0.66025436,0.6692434,0.66944546,1,2,0
0,0.6359691,0.6630365,0.6630417,2,2,0
0,0.6150978,0.65536976,0.65522426,3,2,0
0,0.5969185,0.6468259,0.64667934,4,2,0
0,0.5840239,0.6368163,0.63665223,5,2,0
0,0.5718395,0.6257126,0.62544125,6,2,0
0,0.5614705,0.61337876,0.6131489,7,2,0
0,0.5595073,0.60212487,0.6013614,8,2,0
0,0.5548858,0.59100145,0.5900115,9,2,0
0,0.5514817,0.58015454,0.578295,10,2,0
0,0.54780275,0.5714276,0.56900835,11,2,0
0,0.54863644,0.5643346,0.5629884,12,2,0
0,0.5504532,0.55905503,0.5583164,13,2,0
0,0.54673773,0.55543923,0.55443376,14,2,0
0,0.5411108,0.55300725,0.5528131,15,2,0
0,0.53754944,0.5513511,0.5511492,16,2,0
0,0.5355766,0.55269444,0.5516889,17,2,0
0,0.5327241,0.54984266,0.5494479,18,2,0
0,0.5365725,0.54714453,0.5471208,19,2,0
0,0.529617,0.55152506,0.5538108,20,2,0
0,0.5221984,0.54837877,0.5500397,21,2,0
0,0.5238039,0.5461295,0.5492474,22,2,0
0,0.52324706,0.5529991,0.5546035,23,2,0
0,0.517733,0.5598707,0.5566618,24,2,0
0,0.51765996,0.54774356,0.5524332,25,2,0
0,0.5179891,0.5499284,0.55281234,26,2,0
0,0.51493996,0.55242735,0.55401224,27,2,0
0,0.6811874,0.6763088,0.6767208,0,3,0
0,0.65768003,0.6700038,0.6701207,1,3,0
0,0.63537455,0.6626051,0.66251874,2,3,0
0,0.61446905,0.65394515,0.6537091,3,3,0
0,0.5982216,0.64512324,0.644677,4,3,0
0,0.5805298,0.63449824,0.63403064,5,3,0
0,0.5747642,0.6214927,0.6217896,6,3,0
0,0.5614198,0.6091011,0.60919684,7,3,0
0,0.5561519,0.59779197,0.5982695,8,3,0
0,0.5488846,0.5857541,0.58706117,9,3,0
0,0.5459853,0.5741984,0.5765563,10,3,0
0,0.5431211,0.56542015,0.56810397,11,3,0
0,0.54131466,0.55974376,0.56022227,12,3,0
0,0.53676194,0.5557594,0.55568326,13,3,0
0,0.5344834,0.5536715,0.5537657,14,3,0
0,0.5334478,0.55112123,0.55182225,15,3,0
0,0.5330737,0.54886097,0.5501011,16,3,0
0,0.5306103,0.552173,0.5532429,17,3,0
0,0.51909,0.5531209,0.55218965,18,3,0
0,0.52633864,0.5536469,0.5504338,19,3,0
0,0.5202221,0.5573789,0.553052,20,3,0
0,0.5148335,0.56368756,0.5556287,21,3,0
0,0.6782543,0.6762194,0.67665595,0,4,0
0,0.6603682,0.67049587,0.6706691,1,4,0
0,0.63413364,0.663326,0.6633053,2,4,0
0,0.61693764,0.6547961,0.6547154,3,4,0
0,0.5980952,0.6454466,0.645537,4,4,0
0,0.5850654,0.63466084,0.6347798,5,4,0
0,0.5737208,0.6224334,0.6222968,6,4,0
0,0.56281376,0.60750294,0.6074542,7,4,0
0,0.557755,0.5938277,0.5943336,8,4,0
0,0.54643655,0.5835511,0.5835376,9,4,0
0,0.5523401,0.5754569,0.574249,10,4,0
0,0.5434244,0.56879467,0.56790817,11,4,0
0,0.54222924,0.5623832,0.5618105,12,4,0
0,0.53339624,0.5586953,0.5575424,13,4,0
0,0.53230196,0.5574479,0.5544262,14,4,0
0,0.5279472,0.5495657,0.550523,15,4,0
0,0.5273002,0.5479018,0.55068254,16,4,0
0,0.5295684,0.5465764,0.5487527,17,4,0
0,0.51567775,0.5479653,0.54989624,18,4,0
0,0.508876,0.54782075,0.551593,19,4,0
0,0.5169643,0.54784125,0.55154675,20,4,0
0,0.51679593,0.5576255,0.5624235,21,4,0
0,0.5056233,0.5571459,0.5592756,22,4,0
0,0.679473,0.67488104,0.67525417,0,0,1
0,0.6566562,0.66927654,0.669412,1,0,1
0,0.63360184,0.66268146,0.6626884,2,0,1
0,0.6154637,0.65436715,0.6542849,3,0,1
0,0.59439105,0.6447409,0.6446874,4,0,1
0,0.5797188,0.6331618,0.6329831,5,0,1
0,0.5676071,0.62144136,0.621087,6,0,1
0,0.5602665,0.61074764,0.6101875,7,0,1
0,0.5490133,0.5995026,0.5989317,8,0,1
0,0.553594,0.5885145,0.5871236,9,0,1
0,0.5451518,0.57922554,0.57741946,10,0,1
0,0.54177856,0.5717852,0.5701264,11,0,1
0,0.5390644,0.56412727,0.5625289,12,0,1
0,0.53395766,0.5573117,0.5559833,13,0,1
0,0.53831726,0.5521733,0.550375,14,0,1
0,0.5317851,0.54949343,0.5477665,15,0,1
0,0.5307985,0.5485099,0.5466621,16,0,1
0,0.53829354,0.55092525,0.55009633,17,0,1
0,0.53319997,0.55186296,0.5477766,18,0,1
0,0.5335458,0.548026,0.5425136,19,0,1
0,0.52748555,0.54887754,0.5424946,20,0,1
0,0.5347861,0.5492984,0.543395,21,0,1
0,0.5270932,0.55122924,0.5465121,22,0,1
0,0.52159166,0.5535027,0.5483308,23,0,1
0,0.52707464,0.5548368,0.5488335,24,0,1
0,0.680942,0.6761024,0.67646843,0,1,1
0,0.6577731,0.67038065,0.6704377,1,1,1
0,0.6370264,0.6636288,0.6635083,2,1,1
0,0.61782736,0.6553417,0.65503556,3,1,1
0,0.5986073,0.64621365,0.6458522,4,1,1
0,0.5798661,0.6356009,0.6354519,5,1,1
0,0.5744993,0.6245526,0.62438744,6,1,1
0,0.56400895,0.6125685,0.61222595,7,1,1
0,0.56028676,0.59957945,0.5989511,8,1,1
0,0.5536035,0.5845722,0.58381164,9,1,1
0,0.5500876,0.5745716,0.5731826,10,1,1
0,0.5462992,0.5676629,0.5674726,11,1,1
0,0.5459762,0.5611601,0.5619385,12,1,1
0,0.54810387,0.5543342,0.5554706,13,1,1
0,0.54359794,0.5497536,0.5512325,14,1,1
0,0.53470224,0.54595095,0.549514,15,1,1
0,0.53472644,0.54287744,0.5479646,16,1,1
0,0.52631027,0.54265404,0.54856217,17,1,1
0,0.5292394,0.5416092,0.54746735,18,1,1
0,0.5240155,0.54002726,0.5467341,19,1,1
0,0.5291501,0.5399388,0.5450842,20,1,1
0,0.5204952,0.541899,0.545688,21,1,1
0,0.51179534,0.5473957,0.5485458,22,1,1
0,0.52136374,0.545085,0.54782206,23,1,1
0,0.50937784,0.54561687,0.5492063,24,1,1
0,0.50529766,0.5469385,0.55291235,25,1,1
0,0.68048334,0.6761372,0.67653686,0,2,1
0,0.6541777,0.67005664,0.6701649,1,2,1
0,0.6353328,0.6623516,0.6623185,2,2,1
0,0.6144603,0.6543147,0.6542542,3,2,1
0,0.59666795,0.6454563,0.64542484,4,2,1
0,0.5842145,0.6351174,0.6349071,5,2,1
0,0.5647774,0.62368023,0.6231966,6,2,1
0,0.56059736,0.60991687,0.60896057,7,2,1
0,0.5516688,0.5961681,0.5948643,8,2,1
0,0.5473731,0.5893486,0.587248,9,2,1
0,0.5433455,0.5773261,0.5756476,10,2,1
0,0.533423,0.56397176,0.5613843,11,2,1
0,0.5380578,0.5569002,0.55218047,12,2,1
0,0.5320827,0.5516916,0.545807,13,2,1
0,0.531971,0.5469546,0.54403543,14,2,1
0,0.52890754,0.5464574,0.5469708,15,2,1
0,0.51546526,0.54304546,0.5435169,16,2,1
0,0.5118652,0.5410321,0.5408625,17,2,1
0,0.51486665,0.5448598,0.54211074,18,2,1
0,0.51491076,0.54230416,0.5420178,19,2,1
0,0.50832725,0.54276806,0.54345196,20,2,1
0,0.5109894,0.5533421,0.550503,21,2,1
0,0.49949452,0.55281174,0.5467413,22,2,1
0,0.67988104,0.67591804,0.6763733,0,3,1
0,0.65761644,0.6699395,0.6700977,1,3,1
0,0.63480264,0.6626767,0.662637,2,3,1
0,0.6131355,0.65400606,0.6538671,3,3,1
0,0.5983558,0.64446163,0.6444723,4,3,1
0,0.58579725,0.6340497,0.6342336,5,3,1
0,0.57555455,0.6238139,0.6240159,6,3,1
0,0.56578475,0.6121701,0.6122151,7,3,1
0,0.55862457,0.600817,0.6009701,8,3,1
0,0.55265373,0.5906643,0.5912558,9,3,1
0,0.55096656,0.58126837,0.5822557,10,3,1
0,0.54699546,0.57079506,0.57229036,11,3,1
0,0.5455174,0.5620591,0.5644286,12,3,1
0,0.5423692,0.5567372,0.5572922,13,3,1
0,0.54001015,0.5532373,0.5515745,14,3,1
0,0.5314525,0.55266815,0.5504206,15,3,1
0,0.52822036,0.54922515,0.5503883,16,3,1
0,0.53153807,0.54622114,0.548357,17,3,1
0,0.520709,0.54818,0.5476748,18,3,1
0,0.5215376,0.54442316,0.54525894,19,3,1
0,0.52703875,0.54427695,0.54254454,20,3,1
0,0.5272463,0.54222345,0.5485964,21,3,1
0,0.5204553,0.5423143,0.5481816,22,3,1
0,0.52359635,0.55633706,0.5574617,23,3,1
0,0.52000517,0.55102485,0.5532607,24,3,1
0,0.50935125,0.5450709,0.5523842,25,3,1
0,0.5100175,0.5571132,0.55952084,26,3,1
0,0.6783946,0.6762417,0.67662054,0,4,1
0,0.65533954,0.6703619,0.6704452,1,4,1
0,0.63337064,0.66285455,0.6627486,2,4,1
0,0.61293674,0.6543156,0.65396196,3,4,1
0,0.5995803,0.6454218,0.6449235,4,4,1
0,0.58405405,0.6352118,0.6349194,5,4,1
0,0.5710462,0.62363994,0.6235111,6,4,1
0,0.5626881,0.61134094,0.6115728,7,4,1
0,0.55548376,0.59951895,0.60021865,8,4,1
0,0.5417406,0.5883687,0.58880955,9,4,1
0,0.53561324,0.57610655,0.57680696,10,4,1
0,0.5391064,0.5654354,0.5670618,11,4,1
0,0.54256713,0.55784667,0.5603761,12,4,1
0,0.54054826,0.55219585,0.5554149,13,4,1
0,0.53409195,0.5478739,0.55081964,14,4,1
0,0.52871674,0.54298496,0.5472488,15,4,1
0,0.5251345,0.5389178,0.5435732,16,4,1
0,0.52706623,0.5365409,0.5394894,17,4,1
0,0.5267046,0.53279525,0.53646576,18,4,1
0,0.52996826,0.53382796,0.53621995,19,4,1
0,0.52315694,0.53758353,0.53998613,20,4,1
0,0.5239728,0.5356465,0.5381649,21,4,1
0,0.5255597,0.53205633,0.5361138,22,4,1
0,0.5184853,0.5316186,0.5384162,23,4,1
0,0.5154064,0.5364126,0.5399976,24,4,1
0,0.51840615,0.53375953,0.53941,25,4,1
0,0.5132912,0.5335339,0.5416819,26,4,1
0,0.5099258,0.5484553,0.55453074,27,4,1
0,0.5050918,0.5361228,0.55011636,28,4,1
0,0.6764801,0.6765313,0.67693174,0,0,2
0,0.65434253,0.669328,0.6696004,1,0,2
0,0.62989956,0.6618198,0.66200006,2,0,2
0,0.6080998,0.653563,0.6536354,3,0,2
0,0.59434247,0.6426287,0.6426663,4,0,2
0,0.5736653,0.62938404,0.62920535,5,0,2
0,0.56537074,0.6133534,0.6134366,6,0,2
0,0.5545309,0.6006104,0.601114,7,0,2
0,0.5511839,0.5896825,0.59047985,8,0,2
0,0.545708,0.5800282,0.58108574,9,0,2
0,0.5389821,0.5711426,0.5720245,10,0,2
0,0.5346161,0.56408465,0.5643103,11,0,2
0,0.5318095,0.55913347,0.5594228,12,0,2
0,0.52722377,0.5556368,0.55637616,13,0,2
0,0.5230304,0.5513112,0.55347574,14,0,2
0,0.5199757,0.5485143,0.551676,15,0,2
0,0.52123535,0.54798746,0.54967344,16,0,2
0,0.51449746,0.5450349,0.5480169,17,0,2
0,0.5197466,0.54600817,0.54655975,18,0,2
0,0.5020099,0.55208707,0.5499833,19,0,2
0,0.50643975,0.55143017,0.55461377,20,0,2
0,0.50327754,0.5547803,0.5553965,21,0,2
0,0.49998555,0.5563785,0.5547567,22,0,2
0,0.67871165,0.67468697,0.6751064,0,1,2
0,0.6569161,0.66890454,0.66910106,1,1,2
0,0.6338412,0.66204864,0.6620418,2,1,2
0,0.6159647,0.6546016,0.6543049,3,1,2
0,0.5937392,0.645988,0.6456572,4,1,2
0,0.58354765,0.63575053,0.63543373,5,1,2
0,0.57071406,0.62443465,0.6244128,6,1,2
0,0.5609748,0.61261183,0.612475,7,1,2
0,0.5602326,0.5984814,0.5993331,8,1,2
0,0.5543389,0.587107,0.5879103,9,1,2
0,0.54543847,0.5784235,0.5783229,10,1,2
0,0.54875296,0.57035714,0.569885,11,1,2
0,0.54576486,0.5632684,0.5619228,12,1,2
0,0.5463739,0.55798435,0.5575778,13,1,2
0,0.544462,0.5554162,0.5548579,14,1,2
0,0.54404205,0.55319256,0.5531216,15,1,2
0,0.5472708,0.55267173,0.5512088,16,1,2
0,0.53692347,0.5494301,0.55032736,17,1,2
0,0.53755194,0.54864025,0.5498751,18,1,2
0,0.54067117,0.5520239,0.5495346,19,1,2
0,0.53838116,0.55035764,0.548908,20,1,2
0,0.5313886,0.55035293,0.5491538,21,1,2
0,0.53242904,0.5533962,0.54943633,22,1,2
0,0.53159803,0.55270517,0.55159616,23,1,2
0,0.67968374,0.6759372,0.67629623,0,2,2
0,0.656954,0.67013294,0.67017436,1,2,2
0,0.63400453,0.663004,0.6628118,2,2,2
0,0.61180043,0.6546278,0.6542169,3,2,2
0,0.59505016,0.64569694,0.64516294,4,2,2
0,0.5844011,0.63561845,0.6352765,5,2,2
0,0.5671541,0.6237688,0.6240892,6,2,2
0,0.5618992,0.61192566,0.6127363,7,2,2
0,0.55260986,0.5992067,0.6010496,8,2,2
0,0.5501226,0.5871962,0.5895912,9,2,2
0,0.54084504,0.5795894,0.5822917,10,2,2
0,0.5403212,0.5676913,0.5712631,11,2,2
0,0.5336477,0.5582283,0.5630363,12,2,2
0,0.5317371,0.5490736,0.5556885,13,2,2
0,0.525076,0.5453598,0.55517596,14,2,2
0,0.5225808,0.544328,0.55305225,15,2,2
0,0.52294093,0.5437083,0.5534998,16,2,2
0,0.5159869,0.54435116,0.55734,17,2,2
0,0.50956804,0.546862,0.5602155,18,2,2
0,0.5114329,0.547193,0.5564597,19,2,2
0,0.50244963,0.5417661,0.5544146,20,2,2
0,0.49803504,0.5472516,0.55850106,21,2,2
0,0.49751163,0.5537827,0.569759,22,2,2
0,0.48881987,0.5562986,0.57626194,23,2,2
0,0.4916655,0.5810884,0.5987687,24,2,2
0,0.4836488,0.5703693,0.5779537,25,2,2
0,0.6797984,0.67590076,0.6764077,0,3,2
0,0.6569945,0.66964555,0.6699288,1,3,2
0,0.63117915,0.66253567,0.66255224,2,3,2
0,0.6121411,0.6547043,0.6544556,3,3,2
0,0.5967781,0.64584804,0.64580864,4,3,2
0,0.5827893,0.63503385,0.6349501,5,3,2
0,0.56756926,0.62221336,0.6221419,6,3,2
0,0.56293577,0.6092773,0.6093083,7,3,2
0,0.5571051,0.5978011,0.59783137,8,3,2
0,0.55203587,0.58279747,0.5830786,9,3,2
0,0.5444567,0.57120264,0.57084507,10,3,2
0,0.54447156,0.56530446,0.5651827,11,3,2
0,0.540018,0.5594217,0.55857456,12,3,2
0,0.53544354,0.5512328,0.55141544,13,3,2
0,0.5298727,0.5479076,0.5456809,14,3,2
0,0.5225625,0.54627043,0.546913,15,3,2
0,0.5218446,0.54722565,0.54892516,16,3,2
0,0.5225014,0.5544196,0.55314064,17,3,2
0,0.5238445,0.5556232,0.5513411,18,3,2
0,0.51681775,0.55344874,0.55179566,19,3,2
0,0.5079709,0.5567411,0.5543586,20,3,2
0,0.67871356,0.6760517,0.6764078,0,4,2
0,0.65118074,0.6697325,0.6698098,1,4,2
0,0.63504726,0.66257435,0.66233194,2,4,2
0,0.6136556,0.6549551,0.65442985,3,4,2
0,0.5936354,0.6456082,0.64527965,4,4,2
0,0.5841181,0.6345752,0.63436913,5,4,2
0,0.57475597,0.6239576,0.6239679,6,4,2
0,0.5624977,0.6123495,0.6129466,7,4,2
0,0.56011176,0.59951407,0.59977573,8,4,2
0,0.5493985,0.58535355,0.58543503,9,4,2
0,0.5523272,0.57781446,0.5779064,10,4,2
0,0.54766506,0.5695305,0.56964016,11,4,2
0,0.5401444,0.56251097,0.5626983,12,4,2
0,0.53542584,0.5572788,0.55701375,13,4,2
0,0.5354819,0.5528871,0.5527237,14,4,2
0,0.53472215,0.55004007,0.54968786,15,4,2
0,0.5307193,0.54929495,0.54964465,16,4,2
0,0.52793884,0.5493625,0.5478947,17,4,2
0,0.5192291,0.55159605,0.5467084,18,4,2
0,0.52400434,0.54881275,0.54394585,19,4,2
0,0.52443343,0.5463502,0.5435858,20,4,2
0,0.5180295,0.54920644,0.5470285,21,4,2
0,0.51866287,0.5517145,0.5525235,22,4,2
0,0.52278537,0.5545141,0.5528419,23,4,2
0,0.50955313,0.54821783,0.5488767,24,4,2
0,0.5114817,0.54570836,0.5496847,25,4,2
0,0.5120757,0.55307096,0.5515528,26,4,2
0,0.50279063,0.5546364,0.54988515,27,4,2
0,0.49950257,0.55807066,0.55179846,28,4,2
0,0.50374895,0.56727123,0.5638267,29,4,2
0,0.50084656,0.582868,0.583424,30,4,2
0,0.6775911,0.6752767,0.67564744,0,0,3
0,0.6543221,0.66981816,0.66993904,1,0,3
0,0.63281506,0.66283333,0.6628405,2,0,3
0,0.6157827,0.65441203,0.6543525,3,0,3
0,0.5979281,0.6451005,0.64490604,4,0,3
0,0.58446234,0.63411206,0.63356316,5,0,3
0,0.5719076,0.62358,0.62298447,6,0,3
0,0.56068254,0.6099507,0.61019796,7,0,3
0,0.55743676,0.59581536,0.5959405,8,0,3
0,0.55112934,0.5856045,0.5855342,9,0,3
0,0.55342245,0.5764005,0.57667816,10,0,3
0,0.54694676,0.5686845,0.5686383,11,0,3
0,0.5422685,0.56166553,0.5609815,12,0,3
0,0.5393022,0.556135,0.55624706,13,0,3
0,0.53935117,0.55199057,0.5521553,14,0,3
0,0.53726035,0.5492326,0.5486762,15,0,3
0,0.53903717,0.54831606,0.5473865,16,0,3
0,0.53888416,0.54918504,0.5461926,17,0,3
0,0.5389147,0.5458793,0.5437061,18,0,3
0,0.536321,0.5461902,0.5437373,19,0,3
0,0.5325168,0.5493017,0.5453661,20,0,3
0,0.53238577,0.5474397,0.54399467,21,0,3
0,0.52977973,0.5478539,0.54223454,22,0,3
0,0.5252955,0.5493689,0.54319906,23,0,3
0,0.67809445,0.6763004,0.6766862,0,1,3
0,0.65247375,0.66951716,0.6697243,1,1,3
0,0.63280565,0.66262376,0.662765,2,1,3
0,0.6117185,0.65409064,0.6542612,3,1,3
0,0.5925672,0.64450336,0.6445609,4,1,3
0,0.57855564,0.6332298,0.63275105,5,1,3
0,0.56927824,0.62060523,0.62021357,6,1,3
0,0.5577813,0.60788095,0.60714126,7,1,3
0,0.55333954,0.5932381,0.5916161,8,1,3
0,0.54866827,0.57971805,0.57808036,9,1,3
0,0.5463276,0.57226664,0.57182866,10,1,3
0,0.5338917,0.5680979,0.5684185,11,1,3
0,0.5373611,0.5589568,0.5592139,12,1,3
0,0.52792007,0.5552081,0.555438,13,1,3
0,0.5192542,0.5521182,0.5546022,14,1,3
0,0.52021307,0.55117035,0.55300885,15,1,3
0,0.5156052,0.55053,0.55299544,16,1,3
0,0.51168025,0.55367315,0.55896664,17,1,3
0,0.5056751,0.55386055,0.5560654,18,1,3
0,0.50519925,0.56311625,0.5658301,19,1,3
0,0.5038164,0.55344635,0.5589137,20,1,3
0,0.5028808,0.55808836,0.56353474,21,1,3
0,0.6782418,0.6758541,0.6762849,0,2,3
0,0.6597399,0.6703091,0.67045367,1,2,3
0,0.63625884,0.6635109,0.6634796,2,2,3
0,0.61498165,0.65479976,0.6547538,3,2,3
0,0.59938306,0.6455368,0.64581186,4,2,3
